"table_name","table_id","field_id","current_name","field_type","record_count","blank_count","nonblank_count","blank_ratio"
"Gemini Research Reference","tblfZnARJxcMJ0yHW","fldH0t18dHVNkfTrA","legacy_research_batch_review","singleLineText","76","0","76","0"
"GitHub Workflow Inventory","tblHTf5bLKGK1Yk11","fldhfcwoRfNHkL1ya","legacy_review_after_date_review","date","24","24","0","1"
"Idea Inbox","tblWwBxwrjZF6JR3r","fldXRAz2DLHzOQmK2","legacy_source_checkpoint_id_review","singleLineText","9","9","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fldvsVffETaqyuB0H","legacy_active_plan_task_id_review","singleLineText","2","2","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fldwS46tOH9fTVQSO","legacy_created_at_review","dateTime","2","2","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fldZoUV6BFJyKuOhz","legacy_last_updated_text_review","singleLineText","2","0","2","0"
"Plans","tblBcp5FyMIfOm7Xe","fldyfFi5VTw9ffaPq","legacy_pending_plan_buffer_items_review","multilineText","2","2","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fldLYnjrlPY6QfKNH","legacy_plan_buffer_marker_review","singleLineText","2","2","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fld4QqRiSFLzEvKuD","legacy_promotion_candidates_review","multilineText","2","2","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fldzT3tVTcvhSWPNa","legacy_remain_local_notes_review","multilineText","2","2","0","1"
"Plans","tblBcp5FyMIfOm7Xe","fldCC1FicmWE2pra2","legacy_review_after_date_review","date","2","2","0","1"
"Validation Evidence","tblrPFQH2uZEYBYE9","fldOIWWUP1cPo9zEb","legacy_release_key_review","singleLineText","153","153","0","1"
