"table_name","table_id","field_id","old_name","current_name","field_type","is_primary","record_count","blank_count","nonblank_count","blank_ratio","proposed_name","action","dependency_risk","recommendation_reason"
"Admin Registry","tblFaJW1V2DPc9css","fldhyC1lbXosYYvjZ",,"created_at","dateTime","False","127","35","92","0.2756","created_at","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldvtOp7TdnRBXadU",,"last_reviewed_at","dateTime","False","127","73","54","0.5748","last_reviewed_at","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldIalyqS4gEDHbtc",,"notes","multilineText","False","127","0","127","0","notes","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldg3LmiZe61JyIMp",,"object_name","singleLineText","False","127","0","127","0","object_name","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","flddxw1jHHZuXdRuA",,"object_type","singleSelect","False","127","13","114","0.1024","object_type","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldFrgaZ2b1yqiVPi",,"owning_table","singleLineText","False","127","0","127","0","owning_table","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldWvo4S23CwPnid0",,"registry_key","singleLineText","True","127","0","127","0","registry_key","protect","high","Primary, formula, linked, or system-derived field; do not rename in aggressive legacy pass without dedicated dependency review."
"Admin Registry","tblFaJW1V2DPc9css","fldrXNA9ihR5bIJoh",,"retention_class","singleSelect","False","127","0","127","0","retention_class","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldoy2bD0o6DHlwCd",,"review_after","date","False","127","32","95","0.252","review_after","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldsjx2lBQJJsdBoa",,"status","singleSelect","False","127","0","127","0","status","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"Admin Registry","tblFaJW1V2DPc9css","fldU7MsB6PyUch6H1",,"updated_at","dateTime","False","127","32","95","0.252","updated_at","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldkqvHbdb30pCPJb",,"created_locator","singleLineText","False","0","0","0",,"created_locator","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldypiTz3N1dBIfk9",,"created_surface","singleLineText","False","0","0","0",,"created_surface","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","flduyr5lvHAtwhrJd",,"final_disposition","singleSelect","False","0","0","0",,"final_disposition","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldkYJX6QGOrpPR7K",,"notes","multilineText","False","0","0","0",,"notes","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldR2HGAtC55Ss4Ri",,"plan_key","singleLineText","False","0","0","0",,"plan_key","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","flddBvbBqkOZeymHo",,"purpose","multilineText","False","0","0","0",,"purpose","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldLxQJcSQCwuw6O0",,"review_after","date","False","0","0","0",,"review_after","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldaBJ8P6m2ARMoLz",,"scaffold_key","singleLineText","True","0","0","0",,"scaffold_key","protect","high","Primary, formula, linked, or system-derived field; do not rename in aggressive legacy pass without dedicated dependency review."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fld45yLe1QIoXgZE3",,"scaffold_name","singleLineText","False","0","0","0",,"scaffold_name","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldIHPy7ApnjSCeIl",,"scaffold_type","singleSelect","False","0","0","0",,"scaffold_type","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup Scaffold Registry","tblvtcId7PiFKvfKO","fldfAXpeTuN5M2QRS",,"status","singleSelect","False","0","0","0",,"status","table_empty_review","medium","Table has zero exported records; field-level rename should wait for table/scaffold disposition rather than infer per-field retirement."
"DCOIR Cleanup WBS","tblRxTmpW0VunQlUK","fld3IwH6VYmFqnywU",,"context","multilineText","False","73","0","73","0","context","protect_or_review","medium","Field has observed values or plausible current governance/provenance purpose; not safe for automatic rename recommendation."
